日期,磨煤機,煤源_保證,用煤量_保證,熱值_kcalkg_保證,揮發份_pct_保證,總水份_pct_保證,灰份_pct_保證,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-05-16,D,印尼,695.6948471069336,6070,37.46,15.9,4.78,2581.0663986206055,8094,6206.596439487755,620.877211314638,660.0035400390625,490.1167297363281,-30,530.8523430007193,531.4052703154971,373.4133565370994,322.98507788927003,1.7916928457045986,8357.555526721273,116.61242373337221,684.5783443060677,8,41.15625,60,60,50,50,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
2026-05-18,A,澳洲,754.153564453125,6257,26.2,9.4,13.85,2878.463134765625,8400,6206.894810301958,648.3742992664542,657.1611938476562,638.8796997070312,-30,529.8905074565916,530.3262799743496,383.52279608450885,341.69691644155205,2.316999138308512,8875.220589813822,126.18929359065298,407.5056799964222,9.20544147491455,43.96875,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-18,B,澳洲,682.140625,6257,26.2,9.4,13.85,2878.463134765625,8400,6206.894810301958,648.3742992664542,657.1611938476562,638.8796997070312,-30,529.8905074565916,530.3262799743496,383.52279608450885,341.69691644155205,2.316999138308512,8875.220589813822,126.18929359065298,407.5056799964222,9.20544147491455,43.96875,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-18,C,澳洲,670.9072265625,6257,26.2,9.4,13.85,2878.463134765625,8400,6206.894810301958,648.3742992664542,657.1611938476562,638.8796997070312,-30,529.8905074565916,530.3262799743496,383.52279608450885,341.69691644155205,2.316999138308512,8875.220589813822,126.18929359065298,407.5056799964222,9.20544147491455,43.96875,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-18,D,印尼,771.26171875,6070,37.46,15.9,4.78,2878.463134765625,8400,6206.894810301958,648.3742992664542,657.1611938476562,638.8796997070312,-30,529.8905074565916,530.3262799743496,383.52279608450885,341.69691644155205,2.316999138308512,8875.220589813822,126.18929359065298,407.5056799964222,9.20544147491455,43.96875,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-19,A,澳洲,814.233642578125,6257,26.2,9.4,13.85,2984.0234375,8437,6208.688662849681,648.5506830630095,660.5357666015625,639.099609375,-30,526.5341484674713,526.9618968914842,383.7903771754116,355.4620960027156,8.373235335414567,9226.423361324012,120.61687931929099,779.6175344813511,9.097014427185059,43.77669906616211,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-19,B,澳洲,739.78173828125,6257,26.2,9.4,13.85,2984.0234375,8437,6208.688662849681,648.5506830630095,660.5357666015625,639.099609375,-30,526.5341484674713,526.9618968914842,383.7903771754116,355.4620960027156,8.373235335414567,9226.423361324012,120.61687931929099,779.6175344813511,9.097014427185059,43.77669906616211,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-19,C,澳洲,659.08740234375,6257,26.2,9.4,13.85,2984.0234375,8437,6208.688662849681,648.5506830630095,660.5357666015625,639.099609375,-30,526.5341484674713,526.9618968914842,383.7903771754116,355.4620960027156,8.373235335414567,9226.423361324012,120.61687931929099,779.6175344813511,9.097014427185059,43.77669906616211,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-19,D,印尼,770.920654296875,6070,37.46,15.9,4.78,2984.0234375,8437,6208.688662849681,648.5506830630095,660.5357666015625,639.099609375,-30,526.5341484674713,526.9618968914842,383.7903771754116,355.4620960027156,8.373235335414567,9226.423361324012,120.61687931929099,779.6175344813511,9.097014427185059,43.77669906616211,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-20,A,澳洲,875.7255859375,6387,29.79,9.8,12.4,3122.62109375,8437,6236.742975121061,648.4485924762229,661.62060546875,639.9246826171875,-30,526.5022003876279,526.8790511889836,380.34681026527034,370.7371386661391,2.052317219445356,9648.577552755662,107.87148386377203,1080.9419801326665,9.062929153442383,43.75437545776367,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-20,B,澳洲,766.78271484375,6387,29.79,9.8,12.4,3122.62109375,8437,6236.742975121061,648.4485924762229,661.62060546875,639.9246826171875,-30,526.5022003876279,526.8790511889836,380.34681026527034,370.7371386661391,2.052317219445356,9648.577552755662,107.87148386377203,1080.9419801326665,9.062929153442383,43.75437545776367,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-20,C,印尼,714.49462890625,6070,37.46,15.9,4.78,3122.62109375,8437,6236.742975121061,648.4485924762229,661.62060546875,639.9246826171875,-30,526.5022003876279,526.8790511889836,380.34681026527034,370.7371386661391,2.052317219445356,9648.577552755662,107.87148386377203,1080.9419801326665,9.062929153442383,43.75437545776367,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-20,D,印尼,765.6181640625,6070,37.46,15.9,4.78,3122.62109375,8437,6236.742975121061,648.4485924762229,661.62060546875,639.9246826171875,-30,526.5022003876279,526.8790511889836,380.34681026527034,370.7371386661391,2.052317219445356,9648.577552755662,107.87148386377203,1080.9419801326665,9.062929153442383,43.75437545776367,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-21,A,澳洲,772.73681640625,6387,29.79,9.8,12.4,3032.54638671875,8373,6230.436481981369,642.6323648047874,661.6031494140625,632.8261108398438,-30,524.1598694159857,524.6333068691556,376.7039551795901,363.6627667320738,4.15636441642718,9477.871805902107,113.36051415055609,478.3489844183178,9.000271797180176,43.65625,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-21,B,澳洲,762.0615234375,6387,29.79,9.8,12.4,3032.54638671875,8373,6230.436481981369,642.6323648047874,661.6031494140625,632.8261108398438,-30,524.1598694159857,524.6333068691556,376.7039551795901,363.6627667320738,4.15636441642718,9477.871805902107,113.36051415055609,478.3489844183178,9.000271797180176,43.65625,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-21,C,印尼,726.572265625,6070,37.46,15.9,4.78,3032.54638671875,8373,6230.436481981369,642.6323648047874,661.6031494140625,632.8261108398438,-30,524.1598694159857,524.6333068691556,376.7039551795901,363.6627667320738,4.15636441642718,9477.871805902107,113.36051415055609,478.3489844183178,9.000271797180176,43.65625,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
