日期,煤源_保證_A,煤源_保證_B,煤源_保證_C,煤源_保證_D,用煤量_保證_A,用煤量_保證_B,用煤量_保證_C,用煤量_保證_D,熱值_kcalkg_保證_A,熱值_kcalkg_保證_B,熱值_kcalkg_保證_C,熱值_kcalkg_保證_D,揮發份_pct_保證_A,揮發份_pct_保證_B,揮發份_pct_保證_C,揮發份_pct_保證_D,總水份_pct_保證_A,總水份_pct_保證_B,總水份_pct_保證_C,總水份_pct_保證_D,灰份_pct_保證_A,灰份_pct_保證_B,灰份_pct_保證_C,灰份_pct_保證_D,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-03-17,澳洲,印尼,印尼,印尼,728.9472079167026,850.8847079167026,741.7597079167026,780.1972079167026,6303,5991.5,5991.5,5991.5,27.93,37.67,37.67,37.67,11,14.9,14.9,14.9,12.14,6.25,6.25,6.25,3101.7888316668104,8202,6064.705194676013,629.8924243663583,633.109130859375,624.833251953125,-10.777028469021058,525.5401340494375,525.6309567814898,377.7013626293758,378.07220642479405,1.247707344891847,9592.317048895206,86.81642910891482,2118.6013826531216,8,41.375,60,60,50,50,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842
2026-03-18,澳洲,印尼,印尼,印尼,725.1034579166444,848.1034579166444,748.4159579166444,789.3222079166444,6303,5991.5,5991.5,5991.5,27.93,37.67,37.67,37.67,11,14.9,14.9,14.9,12.14,6.25,6.25,6.25,3110.9450816665776,8183,6064.104858398862,627.9290026886689,633.6414794921875,619.10546875,-0.6107174900486646,522.6504162254236,522.8449736300026,374.8974729962361,377.1514281868267,1.2611470418000787,9567.576646011947,85.8416651459911,3152.396722115519,8.034086227416992,41.59375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-19,澳洲,印尼,印尼,印尼,758.4472079167026,858.7909579167026,766.1034579167026,781.7909579167026,6303,5991.5,5991.5,5991.5,27.93,37.67,37.67,37.67,11,14.9,14.9,14.9,12.14,6.25,6.25,6.25,3165.1325816668104,8161,6066.14341513986,626.3358955090613,635.2395629882812,618.6158447265625,3.031554501074963,509.2610064650436,509.5581004735454,372.8773342044762,383.15344811321455,1.3673373947026972,9723.474597773005,82.8857657391092,3887.0091847373396,8.0625,41.59375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-20,澳洲,印尼,印尼,印尼,788.4784579165862,845.3222079165862,709.6347079165862,740.8534579165862,6303,5991.5,5991.5,5991.5,27.93,37.67,37.67,37.67,11,14.9,14.9,14.9,12.14,6.25,6.25,6.25,3084.288831666345,8157,6071.132956913545,624.9340464404172,631.5167846679688,616.6529541015625,8.42366165791631,512.4040117580872,512.5613776009405,372.9325245030396,379.19460972315136,1.4453524845391188,9633.828341572958,78.38135764665921,3295.1890131957693,8.079551696777344,41.59375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-21,澳洲,印尼,印尼,印尼,801.4784579167026,776.0097079167026,705.9472079167026,781.3222079167026,6303,5864,5864,5864,27.93,38.67,38.67,38.67,11,17.4,17.4,17.4,12.14,7.08,7.08,7.08,3064.7575816668104,8145,5978.804852798204,623.4713666286615,630.79052734375,617.5155639648438,10.00816585218815,509.6313396170926,509.86920665536087,372.0560313661385,377.24761605938625,1.4214572396080203,9435.53367157146,79.31234944141124,2621.6593374462077,7.756398677825928,40.84375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-23,澳洲,印尼,印尼,印尼,804.1347079166444,802.1347079166444,715.0097079166444,819.6347079166444,6303,5864,5864,5864,27.93,38.67,38.67,38.67,11,17.4,17.4,17.4,12.14,7.08,7.08,7.08,3140.9138316665776,7958,5976.392493298071,611.7884690853031,624.8384399414062,599.7854614257812,6.9285771691280855,511.3314130544053,511.58519504869076,367.82173890408956,394.47932272009,1.366792221370397,9866.126046605583,79.497624780211,1909.3764542484528,7.6484375,40.625,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-24,澳洲,印尼,印尼,印尼,839.3222079167026,750.1347079167026,696.6347079167026,764.2284579167026,6303,5864,5864,5864,27.93,38.67,38.67,38.67,11,17.4,17.4,17.4,12.14,7.08,7.08,7.08,3050.3200816668104,7934,5984.7946836431975,609.5506039202365,618.5694580078125,604.132568359375,3.0801857440063105,514.4293797485664,514.6470389988111,366.77868082578226,385.54039471875285,1.5546968212760026,9650.904068022899,77.07272080326324,1616.8365571492773,7.579500675201416,40.59375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-25,澳洲,印尼,印尼,印尼,790.9159579166444,773.9159579166444,700.3847079166444,804.8847079166444,6303,5864,5864,5864,27.93,38.67,38.67,38.67,11,17.4,17.4,17.4,12.14,7.08,7.08,7.08,3070.1013316665776,7816,5977.094672786231,600.7539072646509,613.7877807617188,578.8359985351562,6.88823771415769,513.524302255772,513.8698806957821,365.75623346899476,393.7331359202773,1.9012049049148,9848.919238750488,77.13798133674484,1425.0535368175458,7.625,40.75,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-26,澳洲,印尼,印尼,印尼,649.2909579167026,891.9159579167026,750.6347079167026,830.8222079167026,6303,5864,5864,5864,27.93,38.67,38.67,38.67,11,17.4,17.4,17.4,12.14,7.08,7.08,7.08,3122.6638316668104,7844,5955.280632783737,602.9367017038643,614.519775390625,586.1889038085938,2.786114688156425,509.7008958118956,510.0364071194778,366.1355588869061,401.021398444623,1.4289832837141851,10003.027039405802,84.96395273037884,1731.6066405157299,7.506420612335205,40.232357025146484,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-27,澳洲,印尼,印尼,印尼,659.5722079166444,774.0409579166444,720.6347079166444,412.1347079166444,6303,5854,5854,5854,27.93,38.76,38.76,38.76,11,15.82,15.82,15.82,12.14,4.77,4.77,4.77,2566.3825816665776,6401,5969.395079233377,494.28984588857196,620.7977905273438,368.986328125,-14.95173107607819,518.2626317407164,518.6320622436835,355.2607989689273,402.97520384998376,3.01,10071.816528567473,85.02751235766789,2006.463172283319,7.1884002685546875,39.47318649291992,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-28,澳洲,澳洲,未知_批號1089,未知_批號1089,687.8847079167026,694.0722079167026,796.9159579167026,813.0722079167026,6220,6220,5854,5854,29.85,29.85,38.76,38.76,11.9,11.9,15.82,15.82,13.1,13.1,4.77,4.77,2991.9450816668104,8097,6023.0526454828005,621.8743408671426,631.309326171875,609.64794921875,-16.422046000085523,525.6084809364261,525.6482380040161,380.0617441631034,370.2025294436242,1.39,9329.109463234463,97.42953691214247,721.0946398000888,7.03515625,39.25,60,60,50,50,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842
2026-03-30,澳洲,印尼,印尼,印尼,757.96448,792.43325,622.5269700000001,739.2301199999999,6277,6131,6131,5854,30.31,38.73,38.73,38.76,11,14.89,14.89,15.82,12.14,4.1,4.1,4.77,2912.1548200000007,8153,6098.685808284051,627.7277602947042,631.3215942382812,618.8741455078125,-23.246195014022707,518.2824056205446,518.4577693382688,375.7621843252005,370.2777157944622,1.16,9449.322809797693,95.05273062101409,4244.950994193079,7.50662899017334,40.375,60,60,50,50,1.5,1.5,1.5,1.5
2026-03-31,澳洲,印尼,印尼,印尼,757.96448,792.43325,622.5269700000001,739.2301199999999,6277,6131,6131,5854,30.31,38.73,38.73,38.76,11,14.89,14.89,15.82,12.14,4.1,4.1,4.77,2912.1548200000007,8114,6098.685808284051,621.4938108634461,626.0075073242188,618.580810546875,-16.88392773552624,528.1832771789083,527.9777171727642,380.51038093274207,372.9243263330152,1.35,9516.867612001348,92.12879813113786,3598.023332288503,7.38671875,40,60,60,50,50,1,1,1,1
2026-04-01,澳洲,印尼,印尼,印尼,664.125,799.3125,676.125,743.75,6277,6131,6131,5854,30.31,38.73,38.73,38.76,11,14.89,14.89,15.82,12.14,4.1,4.1,4.77,2883.3125,8067,6093.176663126179,621.1080496317286,627.5831298828125,617.5319213867188,-22.091669950948653,524.6369104409766,524.4076209104884,385.0597231735659,359.3002494532531,1.4930244851546224,9162.520604223619,88.12106717395051,984.2877522636862,7.268233776092529,40,60,60,50,50,1,1,1,1
2026-04-02,印尼,印尼,印尼,印尼,708.40625,799.84375,663.46875,708.09375,5854,6131,6131,6131,38.76,38.73,38.73,38.73,15.82,14.89,14.89,14.89,4.77,4.1,4.1,4.1,2879.8125,8033,6062.86065716084,618.2391660256154,623.4229125976562,608.287109375,-19.380351578792954,521.7339335097681,521.4752377951542,383.3189711314638,359.3962758714597,1.0875019679660844,9117.817547691993,87.42109808958399,1391.1888507930823,7.6875,40.71875,60,60,50,50,1.5,1.5,1.5,1.5
2026-04-04,印尼,印尼,印尼,印尼,651.96875,735.40625,627.9375,710.46875,5992.5,5992.5,5992.5,5992.5,38.75,38.75,38.75,38.75,15.36,15.36,15.36,15.36,4.44,4.44,4.44,4.44,2725.78125,7602,5992.5,583.0607951522788,591.8977661132812,577.2591552734375,-30,529.0102315839295,528.7673662971048,379.1031469554852,357.16155074520935,2.0961776580672686,8954.975840445351,94.56011683861618,3343.1433423717917,7.045919418334961,39.24082565307617,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
